No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
281,1994,LAND TRANSPORT ,"500,001",BAD,"520,000",36,"2,250,335","2,169,370","971,932","2,987,366","3,222,267","5,156,736","2,596,558","5,069,248","3,425,831","6,063,181","100,000","100,000","-303,564","-1,006,445","-203,564","-906,445","4,242,041","4,924,577",n.a.,n.a.,"-540,518","-702,881"
282,2004,BUSINESS SERVICES ,"1,000,001",BAD,"16,501",59,"106,114","97,915","467,916","527,874","574,030","625,789","652,443","809,655","652,443","809,655","50,000","50,000","-128,413","-233,866","-78,413","-183,866","1,242,323","1,340,857",n.a.,"-105,453","44,681","-105,453"
283,1996,LAND TRANSPORT ,"50,000,001",BAD,"26,502",60,"27,997,225","27,998,569","94,457,017","119,899,411","122,454,242","147,897,980","65,941,158","70,354,175","69,542,286","74,647,674","50,000,000","50,000,000","2,379,156","22,700,042","52,911,956","73,250,306","208,281,572","227,388,011","33,258,837","28,772,948","23,656,265","20,320,886"
284,2003,BUSINESS SERVICES ,"1,000,001",BAD,"49,164",59,"302,729","409,954","700,881","775,664","1,003,610","1,185,618","92,111","157,632","196,247","244,364","500,000","500,000","307,363","441,254","807,363","941,254","1,803,963","2,340,775","322,063","166,239","257,651","133,891"
285,1991,BUSINESS SERVICES ,"46,876,001",BAD,"7,817",59,"58,032,435","65,189,106","58,486,896","56,645,271","116,519,331","121,834,377","17,803,470","26,921,937","48,213,113","59,365,470","46,876,000","46,876,000",n.a.,"14,208,577","68,306,218","62,468,907","18,290,446","14,543,798","4,595,486","-2,437,584","6,409,959","-1,924,494"
286,1997,CONSTRUCTION ,"100,003",BAD,"144,000",24,"1,440,389","944,551","3,300,588","3,746,839","4,740,977","4,691,390","3,200,691","3,590,111","3,749,699","3,903,333","100,002","100,002","891,276","688,055","991,278","788,057","2,643,545","3,002,278","42,495","-252,766","-14,964","-203,221"
287,1996,CONSTRUCTION ,"3,000,001",BAD,"59,888",59,"1,245,132","2,406,501","28,688,343","21,035,828","29,933,475","23,442,329","26,328,053","19,857,130","26,673,370","20,133,632","3,000,000","3,000,000","260,105","308,697","3,260,105","3,308,697","59,905,060","20,483,996","264,604","61,142","261,695","48,592"
288,2007,LAND TRANSPORT ,"600,001",BAD,"400,000",60,n.a.,"1,060,320",n.a.,"549,054",n.a.,"1,609,374",n.a.,"1,541,225",n.a.,"1,541,225",n.a.,"50,000",n.a.,"18,149",n.a.,"68,149",n.a.,"317,090",n.a.,"18,149",n.a.,"18,149"
289,2002,BUSINESS SERVICES ,"10,000,004",BAD,"28,568",60,"10,182,995","10,208,640","50,471","1,518,730","10,233,466","11,727,370","530,954","1,122,880","675,621","2,386,040","10,000,003","10,000,000","-442,158","-658,660","9,557,845","9,341,340","135,933",n.a.,"52,811","-278,311,000","89,807","-188,147,000"
290,2005,BUSINESS SERVICES ,"100,001",BAD,"163,836",60,"12,668","9,768","844,110","952,623","856,778","962,391","831,421",n.a.,"831,421","822,856",2,"100,000","25,355","39,535","25,357","139,535","2,906,132","3,065,349","31,655","19,343","25,355","14,180"
291,2005,BUSINESS SERVICES ,"500,001",BAD,"43,499",36,"7,431","49,466","2,595,824","11,961,332","2,603,255","12,010,798","1,978,104","10,961,109","1,978,104","10,961,109","500,000","500,000","125,151","549,689","625,151","1,049,689","2,714,655","9,934,351","126,286","470,270","125,151","424,538"
292,1999,BUSINESS SERVICES ,"200,001",GOOD,"7,336",59,"289,526","138,230","2,516,195","1,226,765","2,805,721","1,364,995","2,416,144","1,078,590","2,537,960","1,078,590","100,000","200,000",n.a.,"86,405","267,761","286,405","20,852,512","10,961,339","43,308","-86,512","22,063","-81,356"
293,2003,BUSINESS SERVICES ,"700,001",GOOD,"275,000",48,"48,821","48,023","2,315,905","1,855,790","2,364,726","1,903,813","2,135,361","1,538,329","2,135,361","1,538,997","500,000","500,000","-270,635","-135,184","229,365","364,816","15,268,245","7,187,929",n.a.,"164,419","-97,775","135,451"
294,2004,BUSINESS SERVICES ,"550,003",GOOD,"230,000",36,"122,843",n.a.,"688,333","3,070,961","811,176","3,070,961","253,346","2,027,468","253,346","2,027,468",2,2,"557,828","1,043,491","557,830","1,043,493","1,958,474","2,585,152","157,258","562,343","145,263","485,663"
295,2007,BUSINESS SERVICES ,"3,600,002",GOOD,"16,501",59,"448,334","1,009,036","829,985","1,221,862","1,278,319","2,230,898","24,448","41,527","24,448","92,527","1,200,000","2,000,000","53,871","138,371","1,253,871","2,138,371","1,882,195","2,064,982","47,088","143,823","53,871","84,500"
296,1995,BUSINESS SERVICES ,"1,000,002",GOOD,"60,000",36,"1,465,791","1,566,651","577,472","331,106","2,043,263","1,897,757","1,234,983","1,561,988","1,768,607","2,238,263","1,000,000","1,000,000","-725,344","-1,340,506","274,656","-340,506","1,798,988","886,354","-455,139","-615,162","-455,139","-615,162"
297,2000,BUSINESS SERVICES ,"200,004",GOOD,"512,000",36,"580,912","368,602","2,559,339","3,337,012","3,140,251","3,705,614","2,858,746","3,327,231","2,953,560","3,343,236","200,002","200,002","-13,311","162,376","186,691","362,378","10,879,569","6,953,745","73,696","229,824","48,224","175,687"
298,1999,BUSINESS SERVICES ,"500,002",GOOD,"153,000",36,"241,005","332,136","779,597","859,307","1,020,602","1,191,443","820,197","1,032,286","1,215,190","1,440,530","260,000","260,000","-454,588","-509,087","-194,588","-249,087","1,443,589","1,477,114","-16,129","-53,719","-12,692","-54,499"
299,1990,BUSINESS SERVICES ,"5,000,002",GOOD,"84,681",59,"5,632,759","5,734,010","25,934,986","30,634,717","31,567,745","36,368,727","20,532,046","24,179,012","22,213,972","25,692,188","5,000,000","5,000,000","4,353,773","5,676,539","9,353,773","10,676,539","21,587,348","25,465,336","1,450,119","1,931,891","963,903","1,322,766"
300,1995,BUSINESS SERVICES ,"175,002",GOOD,"17,150",59,"48,933","29,945","1,771,352","3,142,863","1,820,285","3,172,808","74,214","1,404,478","74,214","1,404,478","175,000","175,000","1,571,071","1,593,330","1,746,071","1,768,330","8,674,860","6,644,964","5,327,016","2,667,042","3,958,511","2,022,259"
301,2001,BUSINESS SERVICES ,"918,000",GOOD,"331,000",30,"3,622,739","4,855,066","621,203","1,196,309","4,243,942","6,051,375","2,098,096","3,304,476","3,212,873","4,909,669","613,000","613,000","418,069","528,706","1,031,069","1,141,706","2,828,896","4,008,572","56,408","181,784","72,288","110,637"
302,1990,BUSINESS SERVICES ,"1,000,000",GOOD,"165,708",36,"9,659,390","14,787,295","12,358,387","8,703,819","22,017,777","23,491,114","11,909,821","9,423,967","16,993,422","17,222,789","1,000,000","1,000,000","4,024,355","3,801,576","5,024,355","6,268,325","20,193,747","12,098,577","249,727","-202,179","44,462","-222,779"
303,2007,BUSINESS SERVICES ,"250,000",GOOD,"41,600",24,"18,247","65,208","443,303","546,076","461,550","611,284","309,000","331,246","310,056","349,244",2,2,"151,492","262,038","151,494","262,040","545,126","669,447","104,311","139,452","82,382","110,544"
304,1982,BUSINESS SERVICES ,"100,001",GOOD,"23,884",59,"118,536","118,575","460,976","496,118","579,512","614,693","591,120","624,799","594,720","627,999","46,000","46,000","-61,208","-59,306","-15,208","-13,306","1,100,114","1,240,506","13,138","7,179","5,994","1,902"
