No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
305,1987,BUSINESS SERVICES ,"800,001",GOOD,"133,440",60,"704,384","845,727","233,424","44,137","937,808","889,864","3,099,444","3,185,315","3,341,898","3,438,949","150,000","150,000","-2,554,090","-2,699,085","-2,404,090","-2,549,085","435,486","488,943","-278,517","-144,995","-278,517","-144,995"
306,1985,CONSTRUCTION ,"750,001",GOOD,"20,846",59,"1,215,520",n.a.,"14,172,500",n.a.,"15,388,020",n.a.,"5,855,205",n.a.,"5,927,205",n.a.,"750,000",n.a.,"8,710,815",n.a.,"9,460,815",n.a.,"26,777,238",n.a.,"-22,783",n.a.,"497,272",n.a.
307,2004,CONSTRUCTION ,"820,001",GOOD,"24,319",59,"59,215","251,985","688,558","1,196,771","747,773","1,448,756","521,651","433,731","570,818","614,069","175,000","820,000","1,955","14,687","176,955","834,687","2,934,585","3,842,908",820,"16,740","-1,980","12,732"
308,1997,CONSTRUCTION ,"1,200,001",GOOD,"624,000",46,"493,235","370,339","480,208","327,042","973,443","697,381","1,026,563","844,931","1,232,875","978,626","500,000","750,000","-759,432","-1,031,245","-259,432","-281,245","1,028,021","1,312,741","-165,268","-276,232","-165,268","-271,813"
309,1982,CONSTRUCTION ,"2,500,001",GOOD,"884,000",36,"5,021,566","7,115,798","4,350,098","5,573,022","9,371,664","12,688,820","4,507,484","7,210,489","5,610,521","8,968,681","1,000,000","1,000,000","2,761,143","2,720,139","3,761,143","3,720,139","12,868,388","20,143,449","772,034","66,814","567,476","-41,004"
310,1994,CONSTRUCTION ,"1,000,002",GOOD,"13,461",59,n.a.,"21,973","324,356","490,183","324,356","512,156","130,347","198,979","133,727","202,359","400,010","505,370","-209,381","-195,573","190,629","309,797","100,663","237,560","4,951","13,808","4,951","13,808"
311,1995,CONSTRUCTION ,"1,000,002",GOOD,"417,930",36,"956,173","1,185,899","52,302,627","40,907,959","53,258,800","42,093,858","44,394,796","31,658,851","44,555,059","31,959,741","1,000,000","1,000,000","7,703,741","9,134,117","8,703,741","10,134,117","81,439,588","59,761,810","1,615,362","2,004,132","1,230,980","1,531,376"
312,2001,CONSTRUCTION ,"2,000,002",GOOD,"650,000",42,"1,020,236","1,144,464","4,500,839","3,812,939","5,521,075","4,957,403","4,290,469","3,428,909","4,568,690","3,665,355","250,000","1,000,000","702,385","292,048","952,385","1,292,048","16,837,294","15,878,368","558,625","243,156","428,389","189,663"
313,2004,CONSTRUCTION ,"1,000,002",GOOD,"238,000",36,"546,470","510,760","472,308","528,030","1,018,778","1,038,790","390,566","876,101","390,566","876,101","500,000","500,000",n.a.,"-337,311","628,212","162,689","1,254,221","4,990,412","66,687","-465,523","50,333","-465,523"
314,2004,CONSTRUCTION ,"750,004",GOOD,"65,500",24,"180,082","146,430","733,352","762,465","913,434","908,895","651,727","426,151","717,151","460,804",2,"280,002","196,281","168,089","196,283","448,091","6,755,077","4,490,691","245,318","-21,358","185,880","-28,192"
315,1991,CONSTRUCTION ,"850,003",GOOD,"138,000",30,"1,606,323","1,473,243","1,951,145","2,032,960","3,557,468","3,506,203","2,501,061","2,842,108","2,933,826","3,324,946","200,000","750,000","423,642","-568,743","623,642","181,257","8,924,046","11,349,725","-19,659","-596,041","-36,628","-592,385"
